"","PoolID","Before_After","Phyllodelta","Foundation_spp","Removal_Control","AdjMusselCover","Diatoms","Crustose.coralline","Algae.film","Turf.algae","Noncoralline.crust","Bosiella.spp","Calliarthron.tuberculosum","Corallina.vancouveriensis","Corallina.spp","Acrosiphonia.coalita","Analipus.japonicus","Chaetomorpha.linum","Centroceras.Ceramium","Cladophora.columbiana","Cryptosiphonia.wooddii","Costaria.costata","Cumagloia.andersonii","Erythrophyllum.delessrioides","Endocladia.muricata","Fucus.gardneri","Halosaccion.glandiforme","Pyropia.spp","Polysiphonia.spp","Ptilota.spp","Cryptopluera.spp","Odonthalia.floccosa","Microcladia.borealis","Mazzaella.splendens","Mazzaella.flaccida","Mazzaella.oregona","Neorhodomela.larix","Odanthalia.washingtoniensis","Scytosiphon.lomentaria","Osmundea.spectabilis","Ulva.spp","Plocamium.pacificum","Smithura.naiadum","Mastocarpus","Farlowia.mollis","Savoiea.robusta","Palmaria.hecatensis","Melobesia.mediocris","Leathesia.marina","Callithamnion.pikeanum","Laminara.setchellii","Schizymenia.pacifica","Chthamalus","Semibalanus.cariosus","Balanus.nibulis","Balanus.glandula","Pollicipes.polymerus","tube.worm","Ophlitaspongia.pennata","Halichondria","Haliclona.permollis","Anthropluera.elegantissima","Anthropluera.xanthogrammica","Urticina.coriacea","Epiactis.prolifera","Anthopleura.artemisia","Stylantheca.spp","Vol","TH"
"11","21","Before",0,"Phyllospadix","Removal",0.488363477147957,0,8.13714593647907,0,0,1.78842073355562,6.04560304469368,0.404162877639689,0.41089892560035,0.538883836852918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276177966387121,0,0,0,0,0,0.0471523357246304,0,0,0,0,0,0,0.0101040719409922,0,0.0729805453927733,1.108424
"12","22","Before",0,"Phyllospadix","Removal",0,0,1.98645897134533,0,0,2.31753546656955,3.02934993130163,0.115876773328478,0.248307371418166,0.0165538247612111,0,0,0,0,0.00165538247612111,0,0,0,0,0,0,0,0,0,0,0.0248307371418166,0,0,0,0,0,0,0,0,0,0.369150292175007,0,5.0820242016918,0,0,0,0,0,0,0,0,0,0.0281415020940588,0,0.00496614742836332,0,0,0,0,0,0,0,0,0,0,0,0,0.12469869539879,1.140174
"13","26","Before",0,"Phyllospadix","Removal",0,0,10.9950990837417,0,0,3.87811634349031,1.96036650330279,1.08672490943959,0,0.127849989345834,0,0,0,1.83251651395696,0,4.68783294268059,0,0,0,0,0,0,0.0468783294268059,0,0,0.562539953121671,0.532708288940976,3.70764969102919,0.0852333262305562,0.44747496271042,0,1.23588323034306,0,0,0,0.0980183251651396,0.00852333262305562,3.4945663754528,0.0639249946729171,0,0,0,0.0127849989345834,0,0,0,0.788408267632644,0.0170466652461112,0,0,0,0,0,0.562539953121671,0.490091625825698,0.0852333262305562,0,0.724483272959727,0,0.298316641806947,0.0127849989345834,0,0.0782942639668266,0.819038001
"14","27","Before",0,"Phyllospadix","Control",0,0,3.51639259489089,0,0,4.03350915296308,2.37873616713207,0.361981590650533,0.517116558072189,0.361981590650533,0,0,0,4.29206743199917,0,1.65477298583101,0,0,0,0,0,0,0.0775674837108284,0,0,2.53387113455373,0.894611645464888,8.94611645464888,0.155134967421657,0.49126073016858,0,1.80990795325266,0,0,0,0.749819009204675,0.134450305098769,10.0320612266005,0,0,0,0,0,0,0,0,0.165477298583101,0.0206846623228876,0.0517116558072189,0,0.0258558279036095,0,0,0.310269934843314,0.517116558072189,0,0.103423311614438,0.568828213879409,0,0.0155134967421657,0.258558279036095,0,0.16357138148712,0.841263001
"15","28","Before",0,"Phyllospadix","Removal",0,0,5.39547017668683,0,2.25305348037472,0.296454405312463,8.95292304043638,0.671963318708249,0.751017826791573,1.50203565358315,0,0,0,0.790545080833234,0.00790545080833235,0.0988181351041543,0,0,0,0,0,0.00790545080833235,0.118581762124985,0.0592908810624926,0,0,0,0.118581762124985,0.0592908810624926,0.118581762124985,0,4.0317799122495,0,0,0,0.513854302541602,0,0.0197636270208309,0,0,0,0,0,0,0.671963318708249,0,0,0.0197636270208309,0,0,0,0,0,0,0,0,0.23716352424997,1.38345389145816,0,0,0.0197636270208309,0,0.197318495024349,0.765063001
"16","29","Before",0,"Phyllospadix","Control",1.63505559189012,0,9.2108131676477,0,0.0109003706126008,1.03553520819708,8.88380204926968,0,0.381512971441029,0.92653150207107,0,0,0,1.09003706126008,0,0,0,0,0,0,0,0,0,0,0,0.0436014824504033,0,0.381512971441029,0.381512971441029,0,0,5.12317418792239,0.327011118378025,0,0,0.0763025942882058,0,0,0,0,0,0,0,0,0,0,0,0.545018530630041,0,0,0,0,0,0,0,0.0545018530630041,0.327011118378025,0.817527795945062,0,0.218007412252017,0.327011118378025,0,0.0456671840460228,0.838342001
"17","1","After",-13.5178806679001,"Phyllospadix","Control",0,0.269876396610353,6.5849840772926,1.16946438531153,4.67785754124611,1.33139022327774,5.78435076734855,1.99708533491661,0.179917597740235,1.73800399417067,0.476781634011623,0,0.0539752793220705,1.11548910598946,0,0,0,0,0,0,0,0.035983519548047,0,1.16046850542452,0,0.323851675932423,2.42888756949317,0,0.467785754124611,0,0,0,0,0,0,4.8217916194383,0.116946438531153,6.83686871412893,0,0,0,0,0.035983519548047,0,0,0,0,0.0539752793220705,0,0,0,0,0.656699231751858,0,0,0.035983519548047,0,0.341843435706446,0.0449793994350587,0.0809629189831057,0.0809629189831057,0,0.291468955411903,0.927449
"18","2","After",51.6372795969773,"Phyllospadix","Removal",0,27.5407779171895,6.58720200752823,2.63488080301129,0.627352572145546,2.7603513174404,6.52446675031368,4.57967377666249,0.250941028858218,0.376411543287328,2.72898368883312,0,0.188205771643664,2.38393977415307,0.376411543287328,0,0,0,0,0,0,0.0941028858218319,0,2.97992471769134,0,0,0.533249686323714,0,2.94855708908407,0.439146800501882,0,0,0,0,0,19.7616060225847,0,0,0.125470514429109,0,0,0,0,0,0,0,0,0.0941028858218319,0,0.0627352572145546,0,0,1.56838143036386,0,0,0.34504391468005,0.0627352572145546,1.69385194479297,0.188205771643664,0.156838143036386,0.0941028858218319,0,0.230525964404787,0.940149
"19","3","After",76.1770244821092,"Phyllospadix","Removal",0,44.9212874761857,0.742003409204853,4.71272435576055,1.50406096460443,0.641732678231224,9.12463651860022,2.04552291186203,0.130351950265717,0.300812192920886,1.45392559911762,0.200541461947258,1.06286974832047,5.59510678832849,0.120324877168355,0,0,0,0,0.0601624385841773,0,0.120324877168355,0.160433169557806,3.76015241151108,0.0902436578762659,0.0601624385841773,0.160433169557806,0,0.360974631505064,0.381028777699789,0,0,0,0,0,12.4536247869247,0,0,0.0401082923894515,0,0,0,0,0,0,0,0,0.0601624385841773,0,0,0.0300812192920886,0,0.721949263010127,0.0200541461947258,0.0601624385841773,0.100270730973629,0,0.651759751328587,0.180487315752532,0.0902436578762659,0.100270730973629,0,0.713710769925491,0.930624
"20","4","After",-19.1523364758838,"Phyllospadix","Control",0,1.7018517768143,14.7899023461242,2.91746018882451,0,3.09980145062604,0.263381822602212,1.96523359941651,0.506503505004255,0.40115077596337,0.0810405608006807,0,0,3.84942663803234,0,0,0,0,0,0,0,0.0405202804003404,0.121560841201021,0.202601402001702,0,0,0,0,0,0.162081121601361,0,0,0,0,0,5.91596093844969,0,7.90145467806637,0,0,0,0,0,0,0,0,0,0.263381822602212,0,0,0,0,0.830665748206977,0,0,0,0,0.263381822602212,0,0.141820981401191,0.202601402001702,0,0.0994791085866816,0.940149
"21","5","After",-3.2184456355571,"Phyllospadix","Control",0,0,9.02304446608244,1.03862382343395,0.486854917234664,1.26582278481013,5.09574813372282,1.16845180136319,0.0811424862057773,0.519311911716975,0.194741966893866,0,0,0.194741966893866,0,0,0,0,0,0,0,0.0486854917234664,0,0.454397922752353,0,0,0,0,0,0,0.259655955858487,0,0,0,0,12.7880558260305,0,11.3599480688088,0.0973709834469328,0,0,0,0,0,0,0,0,0.0649139889646219,0,0,0,0,1.72022070756248,0.113599480688088,0,0,0,0.243427458617332,0.259655955858487,0.0486854917234664,0.146056475170399,0,0.0893765512502866,0.781399
"22","6","After",77.01317715959,"Phyllospadix","Removal",0,53.3248690684018,0,22.3774004126329,0,2.06316457705126,0,1.11093477225837,0.317409934930963,0,0,0,0.317409934930963,0.730042850341216,0,0,0,0,0,0,0,0,0,0,0.476114902396445,0,0,0,1.58704967465482,1.90445960958578,0,0,0,0,0,2.06316457705126,0,0,0,0,0,0,0,0,0,0,0,0.555467386129186,0,0,0,0,0,0,0,0.317409934930963,0,0,0,0.317409934930963,0,0,0.0298760346482921,0.905224
"23","7","After",58.8628762541806,"Phyllospadix","Removal",0,0,15.6191495052153,0,0,0.561647499331372,36.4803423375234,0.909334046536507,1.49772666488366,1.65819737897834,0.106980476063118,0,0,1.15004011767852,0.187215833110457,0,0,0,0,0,0,0.748863332441829,0.320941428189355,0,0,1.01631452259963,1.76517785504145,0,2.30008023535705,3.85129713827226,0,1.65819737897834,0.0802353570473389,0,0,3.63733618614603,0,0,0.267451190157796,0,0,0,0,0.106980476063118,0,0,0.160470714094678,0.0267451190157796,0,0,0.0267451190157796,0,0.802353570473389,0.160470714094678,0.160470714094678,0.160470714094678,0.187215833110457,0.989569403583846,0.187215833110457,0,0.213960952126237,0,0.236988711954102,0.705199
"24","8","After",-27.5231837910295,"Phyllospadix","Control",0.560515674420467,0,8.2475877807583,0.300276254153821,0,0.720663009969172,12.8718420947271,3.66337030067662,0.960884013292229,0.580534091364055,0.160147335548705,0,0,0.360331504984586,0.0600552508307643,0,0,0,0,0,0,0.324298354486127,0.0400368338871762,0,0.0800736677743524,0.240221003323057,0,0,1.5213996877127,1.40128918605117,0,3.00276254153821,0,0,0,3.00276254153821,0,14.8136285382552,0.180165752492293,0,0,0,0.0800736677743524,0,0,0,0,0.10009208471794,0,0,0.0400368338871762,0,1.24114185050246,0,0.120110501661529,0,0.140128918605117,1.3412339352204,0,0,0.164151018937422,0,0.063797986966607,0.778224
"25","18","After",11.1774510477565,"Phyllospadix","Control",4.31302270011947,0,3.15651135005974,0,0.28673835125448,8.94862604540024,1.3142174432497,0.0955794504181601,1.02747909199522,1.21146953405018,0.14336917562724,0,0,0.17921146953405,1.76821983273596,0,0,0,0,0,0.0955794504181601,0.14336917562724,0,0,0,0,0.14336917562724,0,0,0,0,0.525686977299881,0,0.0716845878136201,0,0,0,0,0,0,0,0,0,0.0836320191158901,0,0,0.0955794504181601,0.16726403823178,0,0,0.1194743130227,0,0.16726403823178,0,0,0.04778972520908,5.4958183990442,2.34647550776583,0,0,0,0,0.361621621621622,1.615963001
"26","20","After",-18.5967397899568,"Phyllospadix","Control",0.684931506849315,0,1.35844748858448,0.273972602739726,0.136986301369863,0.747716894977169,5.1541095890411,4.04109589041096,0.251141552511416,1.9634703196347,0.176940639269406,0,0,0.930365296803653,0.0799086757990868,0,0,0,0.0627853881278539,0.273972602739726,0,0.821917808219178,0,0.171232876712329,0,0.251141552511416,0,0,1.13013698630137,1.56392694063927,0.308219178082192,0.93607305936073,0,0,0,3.72146118721461,0,13.2990867579909,0.376712328767123,0,0,0,0,0.0171232876712329,0,0,0,0.142694063926941,0,0,0.0171232876712329,0,0.194063926940639,0.0513698630136986,0.0342465753424658,0.0228310502283105,0.251141552511416,0.228310502283105,0,0.0799086757990868,0.0742009132420091,0,0.355851063829787,1.006824
"27","21","After",100,"Phyllospadix","Removal",1.46420824295011,54.5010845986985,3.85032537960954,13.0151843817787,0,0.406724511930586,4.12147505422994,0.650759219088937,0.515184381778742,1.62689804772234,0.162689804772234,0,0,0,0.162689804772234,0,0,0,0,0,0,0.0542299349240781,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08026030368764,0,0,0.0813449023861171,0,0,0,0,0,0,0,0,0.162689804772234,0,0,0,0,0.813449023861171,0.0813449023861171,0,0,0.162689804772234,0,0,0.108459869848156,0.0542299349240781,0,0.0729805453927733,1.108424
"28","22","After",96.4037698412698,"Phyllospadix","Removal",0,0,0.160534258010659,0,0.0642137032042638,3.14647145700893,6.61401143003917,0.235450245082301,0.160534258010659,3.06085318606991,0.218326590894497,0,0,0,0.11772512254115,0,0,0,0,0,0,0.0428091354695092,0.128427406408528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642137032042638,0,0,0.0749159870716411,0,0.0428091354695092,0,0,0,0.0363877651490828,0,0.0535114193368865,0,0,0,0.12469869539879,1.140174
"29","26","After",58.8528678304239,"Phyllospadix","Removal",0,53.8164665523156,2.89451114922813,6.27144082332762,0,2.54609777015437,2.57289879931389,1.7688679245283,0.160806174957118,1.20604631217839,0,0,0,4.073756432247,0,0.268010291595197,0,0,0,0,0,0,0.321612349914237,0.107204116638079,1.39365351629503,0.536020583190394,8.84433962264151,0,0,0.536020583190394,0.648584905660377,0.93803602058319,0,0,0,1.98327615780446,0.134005145797599,0,0.107204116638079,0,0.160806174957118,0,0,0,0,0,0.134005145797599,0.294811320754717,0,0,0.107204116638079,0,1.31325042881647,1.82246998284734,0.187607204116638,0.375214408233276,0,0.107204116638079,0,0.0804030874785592,0.241209262435678,0,0.0782942639668266,0.819038001
"30","27","After",-17.9971384892791,"Phyllospadix","Control",0,0.53269654665687,4.20646583394563,1.28581925055107,0.734753857457752,1.83688464364438,2.35121234386481,0,0.128581925055107,0.624540778839089,0,0,0.091844232182219,4.1513592946363,0,0.275532696546657,0,0,0,0,0,0,0.440852314474651,0.220426157237326,0.0734753857457752,0.900073475385746,9.478324761205,0,0.551065393093314,1.7634092578986,0,1.9287288758266,0,0,0,2.0573108008817,0.275532696546657,10.470242468773,0.165319617927994,0,0,0,0,0,0,0,0,0.551065393093314,0,0.0734753857457752,0.0551065393093314,0,0.900073475385746,0.624540778839089,0.257163850110213,0.110213078618663,0,0.642909625275533,0.091844232182219,0,0.165319617927994,0,0.16357138148712,0.841263001
"31","28","After",72.8128342245989,"Phyllospadix","Removal",0.329218106995885,4.44444444444444,5.41152263374486,2.34567901234568,0,0.967078189300411,9.09465020576132,1.23456790123457,0.925925925925926,2.13991769547325,0.123456790123457,0,0,2.83950617283951,0,0.1440329218107,0,0,0,0,0,0.0411522633744856,2.18106995884774,0.617283950617284,0.0823045267489712,0,0,1.39917695473251,1.97530864197531,6.04938271604938,0,0,0,0,0,36.1316872427984,0.0411522633744856,0,0.102880658436214,0,0,0,0,0,0,0,0,0.0617283950617284,0,0,0.0617283950617284,0,1.37860082304527,0.0617283950617284,0.0823045267489712,0,0.102880658436214,5.18518518518519,0,0,0.164609053497942,0,0.197318495024349,0.765063001
"32","29","After",45.533850129199,"Phyllospadix","Control",0.532521871434005,0.912894636744009,12.7805249144161,0.912894636744009,0.608596424496006,0.836820083682009,11.4111829593001,0,0.418410041841004,2.28223659186002,0,0,0,0.98896918980601,0,0,0,0,0,0,0,0.304298212248003,0,0,0,0,0,0,0,1.14111829593001,4.79269684290605,0,0,0,0,14.1498668695321,0,9.5853936858121,0.228223659186002,0,0,0,0,0,0,0,0,0.152149106124002,0,0,0,0,2.66260935717003,0,0,0,0.152149106124002,0.646633701027006,0,0,0.266260935717003,0,0.0456671840460228,0.838342001
