"","PoolID","Id_code","Time_Point","Foundation_spp","Before_After","Removal_Control","Day_Night","Group","TADeltaTime","DICDeltaTime","DeltaTime","DeltaNN","DeltaNH4","DeltaPO","DeltapH","DeltapCO2","DeltaDO","SurfaceArea","Vol","SAtoV","TideHeight","SamplingVolume","AdjSamplingVolume","DeltaTA_N_Norm","NEC.mmol.m2.hr","Tempmean","pCO2mean","Salinitymean","Windmean","pHmean","DOmean","NNmean","NH4mean","POmean","K","dpCO2","a","F_CO2","NEP.mmol.m2.hr"
"11","18","N_18_5_BC",5,"Phyllospadix","Before","Control","Night","Before_Control",-13.8972246947828,-59.3241076469676,4.05,0.1060192,8.2490256,0.3906485,-0.263467839584588,987.058215895657,-1.43,5.038,0.361621621621622,13.9316890881913,1.615963001,0.359871621621622,0.359871621621622,6.53551529478283,0.0589603275960365,14.7,1616.09255451981,33.4,5.55,7.48945502506024,4.415,1.060192,12.0630912,0.81196775,8.30215111424146,1205.23255451981,0.0381424210854142,3.81653934853419,-4.94588775218597
"12","19","D_19_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-370.424953953213,362.571839785624,4.35,3.0442656,13.0055202,0.820039,-0.0315516370636697,-55.4682585337531,1.26,5.4395,0.649514563106796,8.37471599402093,1.070324,0.647764563106796,0.647764563106796,362.103777353213,5.07046326783046,14.5,573.762337886007,34.5,2.4,7.85211127406362,9.18,3.0897024,13.1219379,1.3850265,1.54413550376504,162.902337886007,0.0381400487221149,0.0959387309131373,4.9876328971114
"13","19","N_19_5_BC",5,"Mytilus","Before","Control","Night","Before_Control",484.831800847598,-574.794199503989,3.96666666666667,0.302912,13.526628,2.757139,-0.254133052685193,1931.82851430247,-0.41,5.4395,0.649514563106796,8.37471599402093,1.070324,0.647764563106796,0.647764563106796,-492.541238847598,-7.56346382900818,14.5,2472.77550536441,33.45,5.5,7.36794148785536,3.365,1.5675696,35.812302,2.5408295,8.10939218557162,2061.91550536441,0.0383654043181698,6.41503378786198,-16.5046507333443
"14","2","D_2_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-99.9966672048399,424.927367075178,4.61666666666667,0.2233976,1.3970124,0.109769,0.436161661781245,-233.758722329522,4.84,1.985,0.205289249957963,9.66928370777556,0.940149,0.203539249957963,0.203539249957963,99.0425904048399,1.12519234438183,15.9,190.86993446473,34.75,0.6,8.34863060523421,12.41,0.44641656,5.211078,1.0298915,0.100176372284373,-219.99006553527,0.036510752797837,-0.00804616912773518,8.53779153178617
"15","20","D_20_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-230.505002386786,432.8988822782,4.35,0.1060192,4.7454072,0.503646,0.350575210275483,-225.235083817439,6.49,4.6465,0.355851063829787,13.0574289985052,1.006824,0.354101063829787,0.354021063829787,226.872906386786,2.03255439552671,14.3,219.02562132902,34.65,2.2,8.27424629205935,14.595,1.0071824,5.3108646,1.071862,1.29049848212491,-191.83437867098,0.0383419939606108,-0.0949201973093641,5.81904807827335
"16","20","N_20_5_BC",5,"Phyllospadix","Before","Control","Night","Before_Control",82.3107897016571,-186.830354072081,3.93333333333333,-0.0151456,9.7790868,0.736098,-0.356284300323516,967.952806669601,-2.24,4.6465,0.355851063829787,13.0574289985052,1.006824,0.354101063829787,0.354101063829787,-90.6328261016571,-0.898197201932427,14.7,1122.68101801444,33.45,6.2,7.67473444509771,4.43,0.41574672,10.4110686,1.09769,13.0343974639954,711.821018014439,0.0381317352960717,3.53792267637606,-6.34280985306304
"17","21","D_21_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-105.610589954091,202.740481514654,4.26666666666667,2.0749472,7.2511596,0.6076037,0.139094169103284,-102.191495128269,0.75,2.1795,0.0545152465491942,39.9796412556483,1.108424,0.0527652465491942,0.0527652465491942,101.649584954091,0.295021475836392,15.5,226.295336133265,34.45,2.2,8.22523459919232,10.605,2.158248,8.1270642,0.88428615,1.33267917029001,-184.564663866735,0.0370121596896908,-0.0910371373889993,0.972858559538818
"18","21","N_21_5_BC",5,"Phyllospadix","Before","Removal","Night","Before_Removal",72.5011074605827,-158.092591908458,3.98333333333333,2.87236304,5.3995638,0.4552185,-0.306014608032589,1058.39491828459,-2.62,2.1795,0.0545152465491942,39.9796412556483,1.108424,0.0527652465491942,0.0527652465491942,-74.1178712205827,-0.230416206945926,14.6,1431.61489355904,32.9,6.2,7.57100609792506,4.11,1.74818088,12.1573341,0.69574175,12.9993376064097,1020.75489355904,0.0383664297084161,5.09089430217023,-5.84342848961397
"19","22","D_22_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-19.6328465379365,-167.814694224899,4.28333333333333,2.4535872,6.6191778,1.4250599,-0.537220954790229,1061.27390232408,1.87,4.032,0.0983513354802234,40.9958846040353,1.140174,0.0966013354802234,0.0966013354802234,18.3173757379365,0.0524070394093246,15.2,876.979390897197,34.6,2.2,7.81945555303805,10.825,2.7110624,7.8886851,1.19874205,1.32210054203458,466.119390897197,0.0373167515318683,0.229966981297922,-1.24262852654169
"20","22","N_22_5_BC",5,"Phyllospadix","Before","Removal","Night","Before_Removal",125.752465974366,-215.716083052539,4.26666666666667,0.000757279999999999,1.330488,1.724019,-0.308164003836016,1134.35304304584,-1.19,4.032,0.0983513354802234,40.9958846040353,1.140174,0.0966013354802234,0.0966013354802234,-123.634158694366,-0.355105998075625,14.65,1480.97933808337,33.35,5.75,7.56717177261972,4.315,0.13971816,12.528762,1.7853605,8.89929847033477,1070.11933808337,0.0382113560885507,3.63898642607397,-4.5230537403303
"21","23","D_23_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",-465.07049284994,390.715346196881,4.68333333333333,6.4217344,12.6063738,0.787754,-0.284146451833911,415.775691624553,-0.610000000000001,1.59,0.0656288483227959,24.2271507215786,1.044463001,0.0638788483227959,0.0638788483227959,460.46136144994,2.02042956558785,15.5,892.345337346075,33.5,2.05,7.65235626704662,8.575,6.1794048,12.3236451,1.071862,1.15714549858343,481.485337346075,0.0372087478700994,0.207308014391722,1.20105320802183
"22","23","N_23_5_BC",5,"Mytilus","Before","Removal","Night","Before_Removal",126.341557302167,-148.423386298662,4,0.18932,12.307014,0.671528,-0.0698465131183807,485.736024460929,-0.67,1.59,0.0656288483227959,24.2271507215786,1.044463001,0.0638788483227959,0.0638788483227959,-137.116195302167,-0.704424340336403,14.6,2105.30661290904,33.25,6.15,7.3408015818593,3.015,1.3290264,25.002087,1.09769,12.7905163012079,1694.44661290904,0.0382912072832643,8.29879477812147,-9.11939883801924
"23","25","D_25_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-126.113741369078,84.9748353201601,4.73333333333333,2.8322272,12.19614,1.988756,-0.1799624373064,552.45570024878,-1.85,1.143,0.0976450039770454,11.7056680162428,1.029049,0.0958950039770454,0.0958950039770454,120.727340569078,1.09454578633896,14.05,1436.35290950132,34.55,2,7.51148760937024,6.305,4.8996016,19.735572,2.369719,1.05930497904473,1025.49290950132,0.0386594647881583,0.419961533362402,0.0263010424493841
"24","25","N_25_5_BC",5,"Mytilus","Before","Control","Night","Before_Control",202.486325319922,-188.159718250002,3.98333333333333,-0.1741744,11.586333,4.358475,0.0477127912665241,-10.5226166353079,-0.23,1.143,0.0976450039770454,11.7056680162428,1.029049,0.0958950039770454,0.0958950039770454,-205.529882719922,-2.21423500873144,14.45,1804.1755165502,33.4,6.15,7.43449008590275,4.035,2.0560152,34.9530285,3.6320625,12.7388205153841,1393.3155165502,0.038434957367176,6.82189602578365,-8.66186306172468
"25","26","D_26_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-47.3376903309772,73.2768711020606,4.21666666666667,0.3559216,2.2840044,0.426162,0.0471222575136121,-32.7918709144711,0.0300000000000011,1.203,0.0651426836973008,18.4671544327217,0.819038001,0.0633926836973008,0.0633926836973008,46.2619315309772,0.295715193893047,13.6,257.304184955896,34.4,2.15,8.19670214012875,9.795,1.5183464,3.2486082,0.742555,1.2091801256158,-153.555815044104,0.0392344059918631,-0.0728491266613891,0.713933734623217
"26","26","N_26_5_BC",5,"Phyllospadix","Before","Removal","Night","Before_Removal",187.50127609,-346.760691940114,3.7,0.6361152,6.541566,1.91133657,-0.517035810094529,1566.83655624557,-2.88,1.203,0.0651426836973008,18.4671544327217,0.819038001,0.0633926836973008,0.0633926836973008,-189.58405375,-1.38108125164057,14.6,1319.44381032785,33.1,5.95,7.66475314344663,5.27,1.4918416,13.471191,1.020173715,9.51631616234322,908.583810327851,0.038323427389394,3.31358563499795,-6.98466653488433
"27","27","D_27_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-47.7312286126221,99.6851055179673,4.21666666666667,0.31730032,3.5812302,0.264737,0.0873465459252944,-71.548785328704,-1.91,1.164,0.16357138148712,7.11615925363847,0.841263001,0.16182138148712,0.16182138148712,44.9967727326221,0.758823300227595,13.8,265.959467693399,34.25,2.15,8.18044705127281,9.665,0.87125064,5.8818657,1.1202895,1.21583019207491,-144.900532306601,0.0390248920784557,-0.0687518858705037,2.67209774395854
"28","27","N_27_5_BC",5,"Phyllospadix","Before","Control","Night","Before_Control",130.700890881385,-313.696587015028,3.76666666666667,0.19083456,12.6174612,1.5328918,-0.585918783028673,1727.13390140211,-3.93,1.164,0.16357138148712,7.11615925363847,0.841263001,0.16182138148712,0.16182138148712,-140.061733921385,-2.64417912279933,14.5,1351.49400045233,33.3,5.75,7.66406390808319,4.995,0.41347488,10.9876134,1.0608851,8.8633645995194,940.634000452327,0.0383977064892013,3.20128671250218,-12.4014556932914
"29","28","D_28_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-5.054019073571,77.0890184095574,4.21666666666667,0.11207744,-1.2639636,0.012914,0.10369910916631,-53.6048664048527,1.41,2.337,0.183407352136133,12.7421282341254,0.765063001,0.181657352136133,0.181557352136133,6.455888113571,0.0608397597240603,14.2,174.03014259596,34.35,2.15,8.32629599287875,11.525,0.75425088,2.9492484,0.677985,1.22916529084948,-236.82985740404,0.0385247654574548,-0.112146763614442,1.50426816892113
"30","28","N_28_5_BC",5,"Phyllospadix","Before","Removal","Night","Before_Removal",251.538196539878,-360.078095756539,3.85,0.35440704,9.3910278,0.5604676,-0.348302711430582,1111.94254271247,-2.85,2.337,0.183407352136133,12.7421282341254,0.765063001,0.181657352136133,0.181657352136133,-259.453882099878,-2.67941108001987,14.55,1222.32438893637,33.3,5.75,7.66825587646465,4.405,0.5793192,7.5006261,0.7464292,8.8753379845509,811.464388936373,0.0383390194786509,2.76118412448794,-7.51891163444779
"31","29","D_29_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-97.1074921401018,91.9478501275605,4.2,0.5376688,-1.4358183,0.929808,-0.0302683939105108,5.796573725244,2.72,0.75,0.0456671840460228,16.4231715983223,0.838342001,0.0439171840460228,0.0439171840460228,100.940595240102,0.719839097293455,15.75,109.448897643148,34.15,2.15,8.46865853232639,13.71,0.6664064,5.87909385,1.0234345,1.28122554815607,-301.411102356852,0.036797316725772,-0.142102260429715,0.73368117640357
"32","29","N_29_5_BC",5,"Phyllospadix","Before","Control","Night","Before_Control",207.336722870527,-324.43864365414,3.88333333333333,0.738348,1.995732,1.4560535,-0.380702340068559,1172.62137022868,-4.06,0.75,0.0456671840460228,16.4231715983223,0.838342001,0.0439171840460228,0.0439171840460228,-205.681999870527,-1.58639187139282,14.65,1233.15447679725,33.25,5.75,7.65968969229536,4.54,0.369174,9.535164,1.17033125,8.89929847033477,822.294476797249,0.0382327818311576,2.79781532343686,-6.21610862024178
"33","3","D_3_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-70.6394574610881,340.835494503766,4.6,-0.2499024,4.324086,-0.0451990000000001,0.403452875067643,-265.139170343936,3.96,5.31,0.649514563106796,8.17533632286996,0.930624,0.647764563106796,0.647764563106796,65.9750710610881,0.894932618576672,15,243.24423630388,35,0.5,8.2611428000872,12.26,0.45209616,5.8874094,0.8103535,0.0679266529746506,-167.61576369612,0.0374592229990265,-0.00426494898294934,8.35600070663885
"34","30","D_30_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-178.485599593165,105.815509160118,4.33333333333333,10.299008,20.400816,2.227665,-0.266878592469523,587.71301806496,-2.72,1.585,0.164284685605344,9.64788649751322,1.209563001,0.162534685605344,0.162534685605344,172.839121593165,2.09209971301261,14.55,991.980381478839,34.2,2.1,7.65676520103394,7.65,8.254352,19.735572,2.3987755,1.18382579998093,581.120381478839,0.0381459676802089,0.262423391982206,0.207126066854721
"35","30","N_30_5_BC",5,"Mytilus","Before","Control","Night","Before_Control",339.433530333671,-400.045153048805,4.08333333333333,13.365992,16.409352,2.305149,-0.201340494162049,1102.25897489688,-1,1.585,0.164284685605344,9.64788649751322,1.209563001,0.162534685605344,0.162534685605344,-337.866592333671,-4.34003113035343,14.55,1752.32229205096,33.3,5.8,7.48593622122692,4.1,9.901436,35.812302,2.2308935,9.03036279169126,1341.46229205096,0.0383390194786509,4.64434709474977,-10.5817950474077
"36","31","D_31_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-136.202407591127,126.128107390835,4.25,4.9753296,14.41362,1.336599,-0.0675620101571548,184.723390847228,0.43,3.329,0.175943755146801,18.9208193108213,1.146063001,0.174193755146801,0.174193755146801,129.437315191127,0.815145228032281,15.1,1536.05346653946,34,2.1,7.47785799990344,7.815,6.2967832,18.515958,2.2631785,1.20143257011463,1125.19346653946,0.0375554222592046,0.507690751921925,0.26577430153331
"37","31","N_31_5_BC",5,"Mytilus","Before","Control","Night","Before_Control",174.701352863492,-176.058147206773,4.18333333333333,-0.0454367999999998,56.989236,9.143112,-0.0323616515099721,260.406868731508,-0.23,3.329,0.175943755146801,18.9208193108213,1.146063001,0.174193755146801,0.174193755146801,-213.449801663492,-1.36564465374214,14.65,1713.62599282285,33.3,5.95,7.44984789290599,2.915,1.8477632,48.895434,5.759644,9.52914674014448,1302.76599282285,0.0382220674585538,4.74498236492673,-5.63216592284743
"38","32","D_32_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",-115.358373937844,123.230357317819,4.23333333333333,4.051448,7.095936,0.962093,-0.000645578844295613,-83.6868665920588,-0.36,3.203,0.281149722269502,11.3925063633166,1.120663001,0.279399722269502,0.279399722269502,114.238071937844,1.20404596847667,14.15,1271.59505737417,34.65,2.05,7.53866025704483,6.8,6.228628,16.520226,1.9790705,1.11596575156514,860.735057374172,0.0385190023408662,0.369994602548195,1.02360507207018
"39","32","N_32_5_BC",5,"Mytilus","Before","Removal","Night","Before_Removal",83.9313998138209,-100.862773742309,4.16666666666667,-0.8935904,9.97866,2.634456,-0.0671060484941473,340.177817398497,-0.6,3.203,0.281149722269502,11.3925063633166,1.120663001,0.279399722269502,0.279399722269502,-89.5347382138209,-0.958776717572038,14.6,1706.54159155856,33.3,5.95,7.44241023943888,3.35,1.0374736,25.722768,2.318063,9.51631616234322,1295.68159155856,0.0382804732687437,4.72002663344208,-5.92141436294573
"40","4","D_4_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-159.879010960191,376.152202866168,4.65,0.33926144,4.3684356,0.2640913,0.278248419735595,-176.624831471471,-0.290000000000001,1.229,0.0994791085866816,12.354352762712,0.940149,0.0977291085866816,0.0971791085866816,156.378019400191,1.36015819207872,16.25,199.021376252252,35.75,0.5,8.28859027513865,10.065,0.70124128,6.1756818,0.62342335,0.0702072982987006,-211.838623747748,0.0359329724632533,-0.00534417353238638,5.18864397074511
"41","5","D_5_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-115.402995526895,135.47300248179,4.68333333333333,0.71108592,3.769716,0.1917729,-0.102514262257088,33.899858449714,-3.95,1.533,0.0893765512502866,17.1521498486448,0.781399,0.0876265512502866,0.0875765512502866,112.727911246895,0.70334387918981,17.9,185.259719426025,35.15,0.5,8.27808540644521,9.745,1.07571624,3.8695026,0.61438355,0.0732432163274592,-225.600280573975,0.0343579703753443,-0.00567720456789276,0.992848230463899
"42","6","D_6_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",-159.831607869499,254.334390046613,4.71666666666667,4.4073696,10.1616021,-1.7982745,0.142363495798973,-109.493738263313,0.220000000000001,0.683,0.027431630832962,24.898264494698,0.905224,0.025681630832962,0.025671630832962,150.480826369499,0.613372605440987,15.95,218.302872318487,34.6,0.6,8.22472661589044,9.77,3.6273712,5.65180215,1.89351525,0.10030798883624,-192.557127681513,0.0364868146798895,-0.00704743490106179,1.4670519000123
"43","7","D_7_5_BC",5,"Phyllospadix","Before","Removal","Day","Before_Removal",51.1854339138558,8.18125441782558,4.41666666666667,0.64141616,0.543282599999999,0.335764,0.062546156901103,-45.0032230602371,0.460000000000001,2.99,0.257424427350927,11.6150593429269,0.705199,0.255674427350927,0.255674427350927,-50.4157723538558,-0.49926778336816,14.6,308.656584695916,34.6,0.25,8.13484417807594,10.57,0.78492072,7.0571301,1.110604,0.0168002191976965,-102.203415304084,0.0380024425946583,-0.000652517056669439,0.661958351917513
"44","8","D_8_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-113.117736295612,136.278428645157,4.38333333333333,1.7644624,9.368853,1.0686335,-0.0837276349900389,52.231603326873,0.0699999999999985,0.886,0.063797986966607,13.8875855199592,0.778224,0.062047986966607,0.062047986966607,107.650612695612,0.879734492768124,17.55,346.45925010262,35.4,0.55,8.06977093448031,9.505,1.3933952,12.1129845,1.76760375,0.0878422877228247,-64.4007498973799,0.0346588849988897,-0.00196069097260057,1.34959548663345
"45","9","D_9_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-24.9688569162875,-44.3641016251861,4.56666666666667,7.0199856,10.8323898,1.252658,-0.343261188026075,984.214512158719,0.14,6.453,0.751685393258427,8.58470852017937,1.114313001,0.749935393258427,0.749935393258427,23.6617687162874,0.308003545753122,15.85,1225.33841262488,35.55,1.05,7.60610915842946,7.7,6.3346472,15.9824871,1.891901,0.306387186315306,814.478412624877,0.0364028448137955,0.0908417518056623,-1.55381395341446
"46","1","D_1_4_AI",4,"Phyllospadix","After","Control","Day","After_Control",59.8852199661769,-60.356735521058,3.26666666666667,-1.931064,0.110874,-0.471361,-0.0232187678455338,92.3796330879319,4.69707068196774,3.61,0.291468955411903,12.3855386070134,0.927449,0.290118955411903,0.290118955411903,-62.8698799661769,-0.791138193754033,11.6,991.271430970703,35.4,1.15,7.68417182728921,9.80146465901613,13.839292,2.5057524,0.9976065,0.32713608739766,580.411430970703,0.0415560142255081,0.0789038688968371,-0.8067925524554
"47","1","N_1_4_AI",4,"Phyllospadix","After","Control","Night","After_Control",63.5416716635273,-205.933012067828,3.45,-2.8246544,2.0622564,0.1007292,-0.445638080028807,1098.98813787566,-4.39,3.61,0.291468955411903,12.3855386070134,0.927449,0.290118955411903,0.290098955411903,-68.2271240635273,-0.812872761744112,11.5,1070.98378739353,35.45,0.8,7.70477027136041,4.085,3.4342648,2.5611894,0.6534484,0.157862076438466,660.123787393531,0.0416779038065224,0.0434319232996973,-4.13762035024039
"48","1","N_1_4_BC",4,"Phyllospadix","Before","Control","Night","Before_Control",51.7135329958817,-167.765014661848,3.06666666666667,0.15637832,0.465670800000001,0.1801503,-0.363089224604909,693.884584597406,-2.55,3.61,0.291468955411903,12.3855386070134,0.927449,0.290118955411903,0.290118955411903,-51.6625248758817,-0.692506088426037,15.4,784.743900149693,33.1,4.55,7.80574088751449,4.915,0.37239244,7.8609666,0.52656835,5.68527708557568,373.883900149693,0.0374042772921227,0.795077874807085,-4.60015661628742
"49","10","D_10_4_AI",4,"Mytilus","After","Removal","Day","After_Removal",-78.3933141020273,255.197926187312,3.16666666666667,1.968928,5.8652346,1.536766,0.488531166043511,-915.189423517343,10.0741299773306,2.205,0.318639787657635,6.92003976091391,1.107963001,0.317289787657635,0.317289787657635,77.5705395020273,1.80296626045467,12.1,813.38677769028,34.65,0.85,7.81142039886119,11.7829350113347,11.889296,10.8157587,3.118731,0.181266144285424,402.52677769028,0.0410717784303405,0.0299678083113273,10.0301586364665
"50","10","N_10_4_AI",4,"Mytilus","After","Removal","Night","After_Removal",82.4130795863516,-128.582984122275,3.26666666666667,6.43688,7.428558,2.176009,-0.144464209755726,772.926230892234,-0.84,2.205,0.318639787657635,6.92003976091391,1.107963001,0.317289787657635,0.317289787657635,-79.0527395863516,-1.78116946946559,11,2075.61055701993,35.45,0.6,7.38279965282644,2.53,10.79124,18.793143,4.0711385,0.0875382805323369,1664.75055701993,0.0423566378294205,0.0617260747097865,-4.07486776535777
"51","10","N_10_4_BC",4,"Mytilus","Before","Removal","Night","Before_Removal",203.183149976034,-248.28251964379,3.1,1.438832,5.432826,2.253493,-0.159690388973682,897.014759711333,-1.24,2.042,0.227626568915722,8.97083328069688,1.107963001,0.226276568915722,0.226276568915722,-202.670157976034,-3.70559197590107,15.1,1883.41399014504,33.3,4.75,7.42667586221455,2.34,3.3396048,23.338977,2.1727805,6.14678511637447,1472.55399014504,0.0377026676566953,3.41264676425405,-8.78617844164709
"52","11","D_11_4_AI",4,"Mytilus","After","Removal","Day","After_Removal",-100.329125612265,280.671277014488,3.18333333333333,-2.953392,1.8515958,-0.0516559999999999,0.451408181840349,-645.019913002234,10.6545004043515,1.574,0.178274771442862,8.8290675526373,1.673113001,0.176924771442862,0.176924771442862,95.4208258122645,1.72341793114601,12.1,593.060075618501,34.75,0.85,7.92741040266266,12.8127497978242,8.746584,4.9061745,1.523852,0.181266144285424,182.200075618501,0.0410484164948175,0.0135569395033197,8.40156474995927
"53","11","N_11_4_AI",4,"Mytilus","After","Removal","Night","After_Removal",31.1026573228787,-111.909166662745,3.25,1.5448512,4.933893,0.736098,-0.278783218218293,961.331389333851,-1.67,1.574,0.178274771442862,8.8290675526373,1.673113001,0.176924771442862,0.176924771442862,-33.0195031228787,-0.584139703661923,11.05,1450.95698335419,35.45,0.55,7.53347246766324,3.595,5.4296976,10.9488075,1.407626,0.0736619408717908,1040.09698335419,0.0422880047449095,0.0323991927005878,-3.40777318663482
