Sessiles.PoolID,Sessiles.Foundation_spp,Sessiles.Removal_Control,Sessiles.Before_After,Rock,Sand,Bleached.CCA,Mytilus.californianus,Phyllospadix.spp,Diatoms,Crustose.coralline,Algae.film,Turf.algae,Noncoralline.crust,Bosiella.spp,Calliarthron.tuberculosum,Corallina.vancouveriensis,Corallina.spp,Acrosiphonia.coalita,Analipus.japonicus,Chaetomorpha.linum,Centroceras.Ceramium,Cladophora.columbiana,Cryptosiphonia.wooddii,Costaria.costata,Cumagloia.andersonii,Erythrophyllum.delessrioides,Endocladia.muricata,Fucus.gardneri,Halosaccion.glandiforme,Pyropia.spp,Polysiphonia.spp,Ptilota.spp,Cryptopluera.spp,Odonthalia.floccosa,Microcladia.borealis,Mazzaella.splendens,Mazzaella.flaccida,Mazzaella.oregona,Neorhodomela.larix,Odanthalia.washingtoniensis,Scytosiphon.lomentaria,Osmundea.spectabilis,Ulva.spp,Plocamium.pacificum,Smithura.naiadum,Mastocarpus,Farlowia.mollis,Savoiea.robusta,Palmaria.hecatensis,Melobesia.mediocris,Leathesia.marina,Callithamnion.pikeanum,Laminara.setchellii,Schizymenia.pacifica,Chthamalus,Semibalanus.cariosus,Balanus.nibulis,Balanus.glandula,Pollicipes.polymerus,tube.worm,Ophlitaspongia.pennata,Halichondria,Haliclona.permollis,Anthropluera.elegantissima,Anthropluera.xanthogrammica,Urticina.coriacea,Epiactis.prolifera,Anthopleura.artemisia,Stylantheca.spp,DiatomPresent
11,Mytilus,Removal,Before,0.8656681504270509,0,0,3.0295230004787896,0,0,0.7958283945343296,0,0.8656681504270509,1.1779578202431191,0.29927947220517787,0,0,0.29927947220517787,0,0,0,0.6328990272948283,0,0,0,0,0,0,0,0,0,0,0,0.532202523269784,1.7428154022125604,0.7958283945343296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9692260999338389,1.0962132713355641,0,0.44752719400654295,0.29927947220517787,0,0,0,0,0,0.4868009748862263,0,0,0,0,No
12,Mytilus,Control,Before,2.5638892551856287,0,0,2.569459327671071,0,0,0.24774700203540212,0,0,1.8180587253078344,0.4875635410926469,0,0.3704681775448498,0,0,0,0,0,0,0,0,0,0,0.5239211211115703,0,0,0,0,0,0,0,0,0,0.8199808678264279,0,0,0,0.4405633926184267,0,0.24774700203540212,0,0,0,0,0,0,0,0,0,0,0,0.8365545119293896,0.8945829943840813,0.6587959322026503,0.4029794667416787,0,0,0,0,0,0.4875635410926469,0.6895189723318731,0,0,0,0,No
13,Mytilus,Control,Before,1.3073374518638898,0,0,2.9899070833200057,0,0,1.6498713209028093,0,1.1919722816338345,1.241399096369038,0.6385368050695369,0,0.3925648629801022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8688888723394264,1.0110545641602369,0.33010638603453357,0,0,0.3925648629801022,0,0,0,0.33010638603453357,0,0,0,0,0,0,0,0,0,0,0,0.6980900129422667,0.7851297259602044,0.5166444145663684,0.3925648629801022,0.2625239461923409,0,0,0,0.3590756331456151,0,1.2897124916440066,0,0.2905305047394437,0,0,No
14,Mytilus,Control,Before,0.9421444283598703,0,0,3.038605358253248,0,0,1.5214045555085591,0,0.6300499523532165,1.474535717027995,0.7922458724590751,0,0,1.1204048575657293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35430312514242407,0,0,0,0,0,0,0,0,0,0,0,0.5298067463645935,0.6300499523532165,0.8910251875904411,0.42133979728707016,0.7492598861455705,0,0,0,0.6300499523532165,0.4662891357077992,0.7492598861455705,0,0,0,0,No
15,Mytilus,Removal,Before,2.542811876321945,0,0,2.5546117842772267,0,0,1.2860054133908125,0,0,1.4059448547841373,0.6648302745666432,0,0.5051617675172819,0,0,0,0,0,0,0.5051617675172819,0,0,0,0,0,0,0,0,0,0,0.5051617675172819,0.4247887194285127,0,0.4017403669987202,0,0,0,0,0,0,0,0,0,0,0,0,0.6007419681589021,0,0,0,0,1.6093102608175989,0.8359798123053819,0,0.4247887194285127,0.46206703303810487,0,0,0,0,0,1.0257527842885599,0,0,0,0,No
16,Mytilus,Removal,Before,1.5491930482361072,0,0,2.9102858918129457,0,0,0.5543359962114843,0,1.6313171298884057,1.0883207400196337,0,0,0,0.48196285524710386,0,0,0,0,0.34079920322525753,0.9238405285889442,0.37715631645766806,0,0,0.37715631645766806,0,0,0,0,0,0.9238405285889442,1.7447047756298628,0.533379577869113,0.40528083726273456,0,0,0.34079920322525753,0,0.7982523295700502,0,1.1795369389215902,0,0,0,0.48196285524710386,0,0,0,0,0,0,0,0.8168213028420658,0.4102545387072202,0.49075607528541515,0.37715631645766806,0.33193970072015694,0,0,0,0,0,0.33193970072015694,0,0,0,0,No
17,Mytilus,Removal,Before,1.146780971675762,0,0,2.816798780753851,1.7427302118109043,0,1.358041893281755,0,0,1.4467835512943967,0.9800092167590017,0,0.6749565087276156,0.9120013390807697,0,0,0,0,0.6929711627956072,0,0,0,0,0,0,0,0,0,0,0,1.061220998164255,1.456209349749031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146780971675762,0.6653802314178426,0.6448823313152242,0,0.431258806917649,0,0,0,0,0.49000460837950083,1.6974257553123717,0,0,0,0,No
18,Phyllospadix,Control,Before,1.6081786131864146,1.4795372061370164,0,1.254378211601575,2.656689002410485,0,1.8203871150365851,0,0,2.041516496649793,1.0457546059368008,0,1.0814233020801964,0.27819760968676327,0,0,0,0,0.6845753415421199,0,0,0,0,0,0.27819760968676327,0.452509711436838,0,0,0,0,0.5756569506738559,0,0,0,0,0.5883163160812755,0,0,0,0.37590065327570144,0,0,0,0,0,0,0,0.21138447150297587,0,0,0,0.37590065327570144,0,0,0.27819760968676327,0,0,0,0,0.31609351183106676,1.349273846931588,1.0949800448685634,0,0,0,0,No
19,Mytilus,Control,Before,0.989194177956418,0,0,2.9831490035315733,0,0,1.2618772800569895,0,1.1548041738403474,1.1539396910083477,0.6928974287310098,0.49911442620936103,0.34510846211042495,0,0,0,0,0.5935504268486728,0,0.8765852729304249,0.24402853380314218,0,0,0.3068496362005832,0,0.2700619662509162,0,0,0,0.3068496362005832,1.7535817118512305,0.8596482645487118,0.3068496362005832,0.7298155412114601,0,0.2700619662509162,0,0.2700619662509162,0.433950917124115,0.6748846914724586,0,0,0,0.7228751440380887,0.5026419561035397,0.8232051005936704,0,0.2902004686623787,0,0.36938600431158164,0.5223906970482454,0.9831861802533874,0.5711115249239485,0.5914191521267744,0.46336843780695414,0,0,0.4541882786335301,0,0.34510846211042495,0.20520271929468215,0,0,0,0,0,No
20,Phyllospadix,Control,Before,1.4461564091466512,1.4483976501348004,0,0.878087852990974,2.7068233049209054,0,2.047651508952778,0,0,1.0659193750273173,1.667888011880692,1.4560236132716249,0.45394784681222417,0.9694419176123077,0,0,0,1.0796760185385246,0.40602329748471777,0,0,0,0,0,0,0.5040421524029973,0.31773040102192046,0,0,0.6071464430411938,0.39269282590093196,0.7862607346652658,0.7773750061961415,0.9276680102464303,0,0.8413495413173342,0,0,0,0.3035732215205969,0,0.8903717852835226,0,0,0.3302139895959447,0,0,0.20301164874235889,0.45394784681222417,0,0,0.3414235353643917,0,0,0,0,0,0.3302139895959447,0,0,0.361011434956591,0.8685246723839044,0,0.2414228971128464,0,0,No
21,Phyllospadix,Removal,Before,1.4482034841450584,1.4184692016677911,0,0.8359605717074319,2.927069349688696,0,1.6889547967051957,0,0,1.1564248727041178,1.5680500006452573,0.7973318364459024,0.8006334881673842,0.8567888171304128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7249319766583823,0,0,0,0,0,0.4659891477394822,0,0,0,0,0,0,0.3170473353197518,0,No
22,Phyllospadix,Removal,Before,1.7210502699246946,1.922374847536434,0,0,2.832228075144431,0,1.1871890981691189,0,0,1.2338336125544065,1.3192811607772672,0.5834438929897027,0.70590686119819,0.35869439332183445,0,0,0,0,0.2017086804789487,0,0,0,0,0,0,0,0,0,0,0.39696059978715,0,0,0,0,0,0,0,0,0,0.7794725114055802,0,1.501444150253467,0,0,0,0,0,0,0,0,0,0.409578186475434,0,0.2654635525652821,0,0,0,0,0,0,0,0,0,0,0,0,No
23,Mytilus,Removal,Before,1.9702222772493576,0,0,2.875143650429209,0,0,0.7409223989891652,0,0,0.4405550942714001,1.769064080134473,0,0.9316605932898543,0,0,0,0,0,0.2946169481019725,0,0,0,0,0.47921702246160136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1346538644486877,0.5239112526582436,0.5239112526582436,0,0.6230389892911714,0,0,0,0,0.7409223989891652,1.3569406561985624,0,0,0,0,No
24,Mytilus,Removal,Before,1.6852732777424058,0,0,2.784806963064876,0,0,1.1549572811496192,0,0.87757775762062,1.9816590930202875,0.7723664844307355,0,0.5368063151330018,0,0,0,0,0,0,0.3924647043163081,0,0,0,0,0,0,0,0,0,0,0,0.4934982391779544,0,0,0,0,0,0.3924647043163081,0,0,0,0,0.3924647043163081,0,0,0,0,0,0,0,0,0.9545916173798824,0.3300221629731925,0.586871617271738,0.3300221629731925,0.586871617271738,0,0,0,0.586871617271738,0.9545916173798824,1.8370074373493381,0,0,0,0,No
25,Mytilus,Control,Before,1.78030052310972,0,0,2.92343548891008,0,0,0.9278434621528158,0,0,0.5721376138113514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45967161848321986,0,0,0,0,0.8891595529954773,0.7311267660493599,0,0.45967161848321986,0.5000111613371352,0,0,0,0,0.7730724323528254,1.9562130458076041,0,0,0,0,No
26,Phyllospadix,Removal,Before,2.0809326745064687,1.9072615847548136,0,0,2.343706231756923,0,1.8209574039818504,0,0,1.4033151326270124,1.1832712655677335,1.0210097879113738,0,0.5979641867848281,0,0,0,1.163488176400397,0,1.4714416053361825,0,0,0,0,0,0,0.4653106916796907,0,0,0.8660407813385582,0.8543235214154662,1.3876331726931874,0.5403216372657021,0.8178848904352988,0,1.0543732032062227,0,0,0,0.5595344352926263,0.3038451855290141,1.3672512322479116,0.5028259411174646,0,0,0,0.33625997321294965,0,0,0,0.9422969653078551,0.36133485649042535,0,0,0,0,0,0.8660407813385582,0.8366991358661325,0.5403216372657021,0,0.9225864900619801,0,0.7390424257195544,0.33625997321294965,0,No
27,Phyllospadix,Control,Before,1.9593333288723385,1.674395345252459,0,0,2.3862393122131853,0,1.3693811305838521,0,0,1.4171661217399116,1.241899833753173,0.7756604020949397,0.8480024578666107,0.7756604020949397,0,0,0,1.4393507357115942,0,1.1341868445889454,0,0,0,0,0,0,0.5277398943520752,0,0,1.261671029884709,0.9725426069850688,1.729452493387124,0.6275920372342721,0.8371976726262295,0,1.15988283691423,0,0,0,0.9305487103827826,0.6055366697244079,1.7797030450278204,0,0,0,0,0,0,0,0,0.637800133199608,0.37923822817532854,0.476866825921383,0,0.4009956044707081,0,0,0.7463369159980491,0.8480024578666107,0,0.5670934222944727,0.8684509254784514,0,0.3529209378972315,0.713082226946372,0,No
28,Phyllospadix,Removal,Before,0.9970321516968387,1.380928262393363,0,0,2.863940890141032,0,1.5240784561322152,0,1.2251601861397152,0.737886350996774,1.7297813598194736,0.9053914554900476,0.9309204300685032,1.107057198938857,0,0,0,0.9429347913736668,0.2981821625756478,0.5606723814425855,0,0,0,0,0,0.2981821625756478,0.5868194161044642,0.4934543434035218,0,0,0,0.5868194161044642,0.4934543434035218,0.5868194161044642,0,1.4170142059175836,0,0,0,0.8466618658160291,0,0.3749442193577714,0,0,0,0,0,0,0.9053914554900476,0,0,0.3749442193577714,0,0,0,0,0,0,0,0,0.6978498248531712,1.0845290072626,0,0,0.3749442193577714,0,No
29,Phyllospadix,Control,Before,1.2074494802277989,1.3469828051472459,0,1.1307930505706654,2.814919223435052,0,1.7421056661599537,0,0.32311737803230584,1.0087678146882118,1.7264329581472773,0,0.7859181656519447,0.9811040025460241,0,0,0,1.0217868661637417,0,0,0,0,0,0,0,0,0,0,0,0.45695697825172127,0,0.7859181656519447,0.7859181656519447,0,0,1.504474324867124,0.7562068895038454,0,0,0.5255751537845916,0,0,0,0,0,0,0,0,0,0,0,0.8592169129104174,0,0,0,0,0,0,0,0.4831731774320049,0.7562068895038454,0.9508798226186849,0,0.6833100604992431,0.7562068895038454,0,No
30,Mytilus,Control,Before,1.7546919239961078,0,0,2.9330333836312796,0,0,0.7957486082388228,0,0,1.6141019615659327,0.869964192845134,0,0.3271590034487819,0.627107967737045,0,0,0,0,0,1.0186871784849294,0,0,0,0.5120315115298321,0,0,0,0,0,0,1.2454138763693607,0,0.4474823268753956,0,0,0.4892168170726851,0,0,0,0,0,0,0.6691421521111586,0,0,0,0,0,0,0,0,0.8633647465089127,0.8041407909275565,1.1725459276659003,0.46267269972973357,0.4892168170726851,0,0,0,0.5010136392944577,0.6593710308101896,1.109974102720626,0,0,0,0,No
31,Mytilus,Control,Before,0.9669446816976833,0,0,2.9911736506850826,0,0,1.032493834955648,0,0.7239903695280875,1.2961469100643062,0.523196622422622,0,0,0.3975434643290903,0,0,0,0,0,0.5622113588869843,0,0,0,0.33429287406187497,0,0,0,0,0,0,1.2785878183547172,0.8705958186966787,0,0,0,0,0,0,0,0,0,0,0,0,1.2508094015795055,0,0,0,0,0,0,1.6276506574730403,1.072639004928735,0.5437529536916356,0.6923593711964549,0.5317066751536385,0,0,0,0.29421508198825197,0.439954164268034,0.6221891459303742,0,0,0,0,No
32,Mytilus,Removal,Before,1.1674922071076954,0,0,3.092193193815402,0,0,0.7453587843725035,0,0.34986344571924666,0.9111461134574211,0.3079189248524873,0,0,0,0,0,0,0,0,0.46044618899311546,0,0,0,0,0,0,0,0,0,0.4947816299147418,1.2814943488328985,1.0261397207900802,0.5498332860804299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4947816299147418,0,0.7186270650770746,0.9208923779862309,0.7104128353399775,0.3805665191615006,0.5520729792243505,0,0,0,0.4947816299147418,0.5991329184480205,0.5475658840265005,0,0,0,0,No
1,Phyllospadix,Control,After,1.2221480867686179,1.6550168687755447,0,0,2.6233757875571997,0.720760911286332,1.6019121017050582,1.0399123839629627,1.4706581970801595,1.0741782162535634,1.5508280775591756,1.1887736104637607,0.6512810035619871,1.1481871775414636,0.8309595423502596,0,0.4820018716287055,1.0276999450729165,0,0,0,0,0,0,0,0.4355378569473935,0,1.0379067576875267,0,0.7543736968525511,1.248394518457571,0,0.8270118794481065,0,0,0,0,0,0,1.4818427150836555,0.5847857080795876,1.6170159736556693,0,0,0,0,0.4355378569473935,0,0,0,0,0.4820018716287055,0,0,0,0,0.900205427512482,0,0,0.4355378569473935,0,0.7646396443544747,0.46052521407666114,0.5334227565932038,0.5334227565932038,0,Yes
2,Phyllospadix,Removal,After,1.5624596910374464,1.258615044232965,1.2962269574691325,0,0,2.290836271418588,1.6020469722140416,1.2740610631117077,0.8899752326805361,1.288964896086604,1.59821887563115,1.4628797754663712,0.7077712518784754,0.783277647737571,1.285287355344027,0,0.6586553661308853,1.242578457160491,0.783277647737571,0,0,0,0,0,0,0.5538609362670843,0,1.3138667531718151,0,0,0.8545405033712571,0,1.3103954764681274,0.8140525306639006,0,0,0,0,0,2.108412387660124,0,0,0.5951623085242439,0,0,0,0,0,0,0,0,0.5538609362670843,0,0.500469851732162,0,0,1.119084609162355,0,0,0.7664231127074663,0.500469851732162,1.1408245588165744,0.6586553661308853,0.6293075221164826,0.5538609362670843,0,Yes
3,Phyllospadix,Removal,After,1.177928290459808,0.8807068167525349,1.5140017145477718,0,0,2.58888672590776,0.9281143235505801,1.473390989900718,1.1074301931342805,0.8950319502299365,1.7380164927094692,1.1959171312287367,0.6008684255801521,0.7405832050967166,1.0980839550974848,0.6691924679651938,1.0153599091373455,1.5379849829004817,0.588964145229904,0,0,0,0,0.49525783843679444,0,0.588964145229904,0.6328831613862086,1.392519745887274,0.5480928953878634,0.49525783843679444,0.6328831613862086,0,0.7751204060978544,0.7856686866514718,0,0,0,0,0,1.8785551272473835,0,0,0.44751597511496827,0,0,0,0,0,0,0,0,0.49525783843679444,0,0,0.4164605409678037,0,0.921778701915367,0.3763145792429473,0.49525783843679444,0.5627215474267178,0,0.8985078678655941,0.6517959708776893,0.5480928953878634,0.5627215474267178,0,Yes
4,Phyllospadix,Control,After,1.3290483842392782,1.378052020409037,0,0,2.627362160896307,1.1421691695001195,1.9610620103241974,1.3069267123140889,0,1.3268855644062651,0.7163849436700798,1.1840050238761257,0.843617565251013,0.7958420992359405,0.5335505960637836,0,0,1.4007125241949123,0,0,0,0,0,0,0,0.4486607835865183,0.5904707979091189,0.670904355917858,0,0,0,0,0,0.6345021650529943,0,0,0,0,0,1.5595752141079018,0,1.6765895825199932,0,0,0,0,0,0,0,0,0,0.7163849436700798,0,0,0,0,0.9546772551351771,0,0,0,0,0.7163849436700798,0,0.6136703233003474,0.670904355917858,0,Yes
5,Phyllospadix,Control,After,1.1558933037033123,1.6438898158501605,0,0,2.57899820210953,0,1.7331584719628919,1.0095191693524148,0.8353142497913256,1.0607016078643532,1.5024567823475197,1.0396872080882549,0.5337182797828158,0.8489010506383532,0.6643009721810497,0,0,0.6643009721810497,0,0,0,0,0,0,0,0.4697317221780363,0,0.8210301097266278,0,0,0,0,0,0,0.7138378503869032,0,0,0,0,1.8910418095191637,0,1.835879136922851,0.5586083061566023,0,0,0,0,0,0,0,0,0.5047595846762074,0,0,0,0,1.1452387725407391,0.5805559581460338,0,0,0,0.7024127582598716,0.7138378503869032,0.4697317221780363,0.6182017126179336,0,No
6,Phyllospadix,Removal,After,1.8512094561458834,0,0.94382207579528965,0,0,2.7022930821439792,0,2.1749656794535497,0,1.1984873879309836,0,1.0266493584512129,0.7505940700441505,0,0,0,0.7505940700441505,0.9243513674081104,0,0,0,0,0,0,0,0,0,0,0.8306688863521382,0,0,0,1.122399927832396,1.174743204920549,0,0,0,0,0,1.1984873879309836,0,0,0,0,0,0,0,0,0,0,0,0.8633057652441507,0,0,0,0,0,0,0,0.7505940700441505,0,0,0,0.7505940700441505,0,0,Yes
7,Phyllospadix,Removal,After,1.6716942419953478,1.9122894752489537,1.1612837846225674,0,0,0,1.9879906866899482,0,0,0.8656970894730214,2.4576199641056258,0.9765193715813837,1.1062623713697106,1.134773162367098,0.571907947231138,0,0,1.0355671075682602,0.6577875415463212,0,0,0,0,0,0,0.9302520624148632,0.7526731871519062,0,0,1.0040539126479076,1.1526491055392014,0,1.2315037723829632,1.4008826505588559,0,1.134773162367098,0.5322203146524043,0,0,1.3810069392104447,0,0,0.7191361715497772,0,0,0,0,0.571907947231138,0,0,0.6329201849336261,0.4043999877016159,0,0,0.4043999877016159,0,0.9464364271508073,0.6329201849336261,0.6329201849336261,0.6329201849336261,0.6577875415463212,0.9973820886361058,0.6577875415463212,0,0.6801169999738702,0,No
8,Phyllospadix,Control,After,1.3739231244884464,1.7751205501330392,0,0.8652606240532548,2.3440008671280537,0,1.6946567142340752,0.7402531214808543,0,0.9213678580765393,1.8941317148613979,1.3834714621112976,0.9900741964377098,0.8728848022845687,0.632601080506044,0,0,0.7747749289865552,0.4950370982188549,0,0,0,0,0,0,0.7546336834692979,0.4473165138117608,0,0.5319519808831589,0.7000881781789265,0,0,1.1106080849243447,1.0880076340728813,0,1.3163768841464445,0,0,0,1.3163768841464445,0,1.9618480291977318,0.6515054604132454,0,0,0,0.5319519808831589,0,0,0,0,0.5624707381161366,0,0,0.4473165138117608,0,1.0554929941028774,0,0.588701639392163,0,0.6118316547617604,1.0761582348686123,0,0,0.6365183022224009,0,No
9,Mytilus,Control,After,1.0630584598792123,0,0,2.8249843318363057,0,0.7838851137870788,1.0630584598792123,1.519473034493749,1.3729988783996825,0.9145718401698618,0.7200066860966404,0,0.4272312399041079,0.6777524374200856,0,0,0,0.6041962137418628,0.5280282981153211,0.6041962137418628,0.5080664302453995,0,0,0,0,0,0.47280908873302674,0,0,0,1.910636189074212,0,0.6492510842086356,0.8544624798082158,0,0,0,0,0,0.5372148432603153,0,0,0,0.6164083682052451,1.309767338755382,0,0,0,0,0,0.6041962137418628,1.2430606044928654,0.8880342060753865,0.9768686020386858,0.7258847793779748,0.4854284087389697,0.5080664302453995,0,0,0.5080664302453995,0.5372148432603153,1.0026354041570302,0,0,0,0,Yes
